Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Alarm Type,Alarm Priority,Description
12/1/2016,5:00:00,12/1/2016,5:01:54,AlarmRateRamp|4000,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,5:00:20,12/1/2016,5:01:54,AlarmRateRamp|4001,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,5:00:41,12/1/2016,5:01:54,AlarmRateRamp|4002,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,5:01:02,12/1/2016,5:01:54,AlarmRateRamp|4003,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,5:01:23,12/1/2016,5:01:54,AlarmRateRamp|4004,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,5:01:44,12/1/2016,5:01:54,AlarmRateRamp|4005,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,5:01:56,12/1/2016,5:03:43,AlarmRateRamp|4006,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,5:02:15,12/1/2016,5:03:43,AlarmRateRamp|4007,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,5:02:35,12/1/2016,5:03:43,AlarmRateRamp|4008,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,5:02:55,12/1/2016,5:03:43,AlarmRateRamp|4009,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,5:03:14,12/1/2016,5:03:43,AlarmRateRamp|4010,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,5:03:34,12/1/2016,5:03:43,AlarmRateRamp|4011,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,5:03:45,12/1/2016,5:05:27,AlarmRateRamp|4012,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,5:04:03,12/1/2016,5:05:27,AlarmRateRamp|4013,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,5:04:22,12/1/2016,5:05:27,AlarmRateRamp|4014,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,5:04:40,12/1/2016,5:05:27,AlarmRateRamp|4015,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,5:04:59,12/1/2016,5:05:27,AlarmRateRamp|4016,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,5:05:18,12/1/2016,5:05:27,AlarmRateRamp|4017,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,5:05:29,12/1/2016,5:07:06,AlarmRateRamp|4018,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,5:05:46,12/1/2016,5:07:06,AlarmRateRamp|4019,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,5:06:04,12/1/2016,5:07:06,AlarmRateRamp|4020,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,5:06:22,12/1/2016,5:07:06,AlarmRateRamp|4021,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,5:06:40,12/1/2016,5:07:06,AlarmRateRamp|4022,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,5:06:57,12/1/2016,5:07:06,AlarmRateRamp|4023,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
