Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Alarm Type,Alarm Priority,Description
12/3/2016,10:00:12,12/3/2016,10:00:43,AlarmRateRamp|4000,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,10:00:33,12/3/2016,10:00:43,AlarmRateRamp|4001,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,10:00:45,12/3/2016,10:02:32,AlarmRateRamp|4002,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,10:01:04,12/3/2016,10:02:32,AlarmRateRamp|4003,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,10:01:24,12/3/2016,10:02:32,AlarmRateRamp|4004,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,10:01:44,12/3/2016,10:02:32,AlarmRateRamp|4005,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,10:02:03,12/3/2016,10:02:32,AlarmRateRamp|4006,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,10:02:23,12/3/2016,10:02:32,AlarmRateRamp|4007,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,10:02:34,12/3/2016,10:04:16,AlarmRateRamp|4008,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,10:02:52,12/3/2016,10:04:16,AlarmRateRamp|4009,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,10:03:11,12/3/2016,10:04:16,AlarmRateRamp|4010,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,10:03:29,12/3/2016,10:04:16,AlarmRateRamp|4011,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,10:03:48,12/3/2016,10:04:16,AlarmRateRamp|4012,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,10:04:07,12/3/2016,10:04:16,AlarmRateRamp|4013,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,10:04:18,12/3/2016,10:05:55,AlarmRateRamp|4014,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,10:04:35,12/3/2016,10:05:55,AlarmRateRamp|4015,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,10:04:53,12/3/2016,10:05:55,AlarmRateRamp|4016,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,10:05:11,12/3/2016,10:05:55,AlarmRateRamp|4017,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,10:05:29,12/3/2016,10:05:55,AlarmRateRamp|4018,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,10:05:46,12/3/2016,10:05:55,AlarmRateRamp|4019,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,10:05:57,12/3/2016,10:07:30,AlarmRateRamp|4020,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,10:06:13,12/3/2016,10:07:30,AlarmRateRamp|4021,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,10:06:30,12/3/2016,10:07:30,AlarmRateRamp|4022,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,10:06:47,12/3/2016,10:07:30,AlarmRateRamp|4023,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,10:07:05,12/3/2016,10:07:30,AlarmRateRamp|4024,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,10:07:21,12/3/2016,10:07:30,AlarmRateRamp|4025,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,10:07:32,12/3/2016,10:09:01,AlarmRateRamp|4026,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,10:07:47,12/3/2016,10:09:01,AlarmRateRamp|4027,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,10:08:04,12/3/2016,10:09:01,AlarmRateRamp|4028,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,10:08:20,12/3/2016,10:09:01,AlarmRateRamp|4029,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,10:08:37,12/3/2016,10:09:01,AlarmRateRamp|4030,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,10:08:53,12/3/2016,10:09:01,AlarmRateRamp|4031,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
