Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Alarm Type,Alarm Priority,Description
12/3/2016,5:00:17,12/3/2016,5:01:48,AlarmRateRamp|5000,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,5:00:38,12/3/2016,5:01:48,AlarmRateRamp|5001,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,5:00:58,12/3/2016,5:01:48,AlarmRateRamp|5002,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,5:01:18,12/3/2016,5:01:48,AlarmRateRamp|5003,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,5:01:38,12/3/2016,5:01:48,AlarmRateRamp|5004,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,5:01:50,12/3/2016,5:03:34,AlarmRateRamp|5005,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,5:02:08,12/3/2016,5:03:34,AlarmRateRamp|5006,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,5:02:27,12/3/2016,5:03:34,AlarmRateRamp|5007,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,5:02:47,12/3/2016,5:03:34,AlarmRateRamp|5008,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,5:03:06,12/3/2016,5:03:34,AlarmRateRamp|5009,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,5:03:24,12/3/2016,5:03:34,AlarmRateRamp|5010,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,5:03:36,12/3/2016,5:05:15,AlarmRateRamp|5011,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,5:03:53,12/3/2016,5:05:15,AlarmRateRamp|5012,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,5:04:12,12/3/2016,5:05:15,AlarmRateRamp|5013,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,5:04:30,12/3/2016,5:05:15,AlarmRateRamp|5014,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,5:04:48,12/3/2016,5:05:15,AlarmRateRamp|5015,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,5:05:06,12/3/2016,5:05:15,AlarmRateRamp|5016,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,5:05:17,12/3/2016,5:06:52,AlarmRateRamp|5017,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,5:05:33,12/3/2016,5:06:52,AlarmRateRamp|5018,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,5:05:51,12/3/2016,5:06:52,AlarmRateRamp|5019,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,5:06:08,12/3/2016,5:06:52,AlarmRateRamp|5020,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,5:06:26,12/3/2016,5:06:52,AlarmRateRamp|5021,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,5:06:43,12/3/2016,5:06:52,AlarmRateRamp|5022,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,5:06:54,12/3/2016,5:08:25,AlarmRateRamp|5023,Q1,ALARM,N/A,Limit Signal 1
