Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Alarm Type,Alarm Priority,Description
12/3/2016,15:00:01,12/3/2016,15:01:12,AlarmRateRamp|3000,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:00:21,12/3/2016,15:01:12,AlarmRateRamp|3001,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:00:42,12/3/2016,15:01:12,AlarmRateRamp|3002,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:01:02,12/3/2016,15:01:12,AlarmRateRamp|3003,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:01:14,12/3/2016,15:03:00,AlarmRateRamp|3004,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:01:32,12/3/2016,15:03:00,AlarmRateRamp|3005,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:01:52,12/3/2016,15:03:00,AlarmRateRamp|3006,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:02:12,12/3/2016,15:03:00,AlarmRateRamp|3007,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:02:31,12/3/2016,15:03:00,AlarmRateRamp|3008,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:02:50,12/3/2016,15:03:00,AlarmRateRamp|3009,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:03:02,12/3/2016,15:04:43,AlarmRateRamp|3010,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:03:19,12/3/2016,15:04:43,AlarmRateRamp|3011,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:03:38,12/3/2016,15:04:43,AlarmRateRamp|3012,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:03:57,12/3/2016,15:04:43,AlarmRateRamp|3013,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:04:15,12/3/2016,15:04:43,AlarmRateRamp|3014,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:04:33,12/3/2016,15:04:43,AlarmRateRamp|3015,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:04:45,12/3/2016,15:06:21,AlarmRateRamp|3016,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:05:02,12/3/2016,15:06:21,AlarmRateRamp|3017,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:05:19,12/3/2016,15:06:21,AlarmRateRamp|3018,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:05:37,12/3/2016,15:06:21,AlarmRateRamp|3019,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:05:55,12/3/2016,15:06:21,AlarmRateRamp|3020,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:06:12,12/3/2016,15:06:21,AlarmRateRamp|3021,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:06:23,12/3/2016,15:07:55,AlarmRateRamp|3022,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:06:39,12/3/2016,15:07:55,AlarmRateRamp|3023,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:06:56,12/3/2016,15:07:55,AlarmRateRamp|3024,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:07:13,12/3/2016,15:07:55,AlarmRateRamp|3025,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:07:30,12/3/2016,15:07:55,AlarmRateRamp|3026,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:07:47,12/3/2016,15:07:55,AlarmRateRamp|3027,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:07:57,12/3/2016,15:09:26,AlarmRateRamp|3028,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:08:12,12/3/2016,15:09:26,AlarmRateRamp|3029,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:08:29,12/3/2016,15:09:26,AlarmRateRamp|3030,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:08:45,12/3/2016,15:09:26,AlarmRateRamp|3031,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:09:01,12/3/2016,15:09:26,AlarmRateRamp|3032,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:09:17,12/3/2016,15:09:26,AlarmRateRamp|3033,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:09:28,12/3/2016,15:10:53,AlarmRateRamp|3034,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:09:42,12/3/2016,15:10:53,AlarmRateRamp|3035,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:09:58,12/3/2016,15:10:53,AlarmRateRamp|3036,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:10:14,12/3/2016,15:10:53,AlarmRateRamp|3037,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:10:30,12/3/2016,15:10:53,AlarmRateRamp|3038,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:10:45,12/3/2016,15:10:53,AlarmRateRamp|3039,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:10:55,12/3/2016,15:12:18,AlarmRateRamp|3040,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:11:09,12/3/2016,15:12:18,AlarmRateRamp|3041,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:11:24,12/3/2016,15:12:18,AlarmRateRamp|3042,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:11:40,12/3/2016,15:12:18,AlarmRateRamp|3043,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:11:55,12/3/2016,15:12:18,AlarmRateRamp|3044,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:12:10,12/3/2016,15:12:18,AlarmRateRamp|3045,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:12:20,12/3/2016,15:13:40,AlarmRateRamp|3046,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:12:33,12/3/2016,15:13:40,AlarmRateRamp|3047,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:12:48,12/3/2016,15:13:40,AlarmRateRamp|3048,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:13:03,12/3/2016,15:13:40,AlarmRateRamp|3049,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:13:18,12/3/2016,15:13:40,AlarmRateRamp|3050,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:13:32,12/3/2016,15:13:40,AlarmRateRamp|3051,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:13:42,12/3/2016,15:15:00,AlarmRateRamp|3052,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:13:55,12/3/2016,15:15:00,AlarmRateRamp|3053,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:14:09,12/3/2016,15:15:00,AlarmRateRamp|3054,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:14:24,12/3/2016,15:15:00,AlarmRateRamp|3055,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:14:38,12/3/2016,15:15:00,AlarmRateRamp|3056,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:14:52,12/3/2016,15:15:00,AlarmRateRamp|3057,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:15:02,12/3/2016,15:16:17,AlarmRateRamp|3058,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:15:15,12/3/2016,15:16:17,AlarmRateRamp|3059,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:15:29,12/3/2016,15:16:17,AlarmRateRamp|3060,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:15:43,12/3/2016,15:16:17,AlarmRateRamp|3061,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:15:56,12/3/2016,15:16:17,AlarmRateRamp|3062,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:16:10,12/3/2016,15:16:17,AlarmRateRamp|3063,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:16:19,12/3/2016,15:17:33,AlarmRateRamp|3064,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:16:31,12/3/2016,15:17:33,AlarmRateRamp|3065,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:16:45,12/3/2016,15:17:33,AlarmRateRamp|3066,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:16:58,12/3/2016,15:17:33,AlarmRateRamp|3067,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:17:12,12/3/2016,15:17:33,AlarmRateRamp|3068,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:17:25,12/3/2016,15:17:33,AlarmRateRamp|3069,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:17:35,12/3/2016,15:18:47,AlarmRateRamp|3070,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:17:47,12/3/2016,15:18:47,AlarmRateRamp|3071,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:18:00,12/3/2016,15:18:47,AlarmRateRamp|3072,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:18:13,12/3/2016,15:18:47,AlarmRateRamp|3073,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:18:27,12/3/2016,15:18:47,AlarmRateRamp|3074,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:18:40,12/3/2016,15:18:47,AlarmRateRamp|3075,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:18:49,12/3/2016,15:19:59,AlarmRateRamp|3076,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:19:01,12/3/2016,15:19:59,AlarmRateRamp|3077,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:19:14,12/3/2016,15:19:59,AlarmRateRamp|3078,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:19:26,12/3/2016,15:19:59,AlarmRateRamp|3079,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:19:39,12/3/2016,15:19:59,AlarmRateRamp|3080,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:19:52,12/3/2016,15:19:59,AlarmRateRamp|3081,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:20:01,12/3/2016,15:21:09,AlarmRateRamp|3082,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:20:12,12/3/2016,15:21:09,AlarmRateRamp|3083,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:20:25,12/3/2016,15:21:09,AlarmRateRamp|3084,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:20:38,12/3/2016,15:21:09,AlarmRateRamp|3085,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:20:50,12/3/2016,15:21:09,AlarmRateRamp|3086,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:21:03,12/3/2016,15:21:09,AlarmRateRamp|3087,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:21:11,12/3/2016,15:22:18,AlarmRateRamp|3088,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:21:22,12/3/2016,15:22:18,AlarmRateRamp|3089,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:21:34,12/3/2016,15:22:18,AlarmRateRamp|3090,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:21:47,12/3/2016,15:22:18,AlarmRateRamp|3091,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:21:59,12/3/2016,15:22:18,AlarmRateRamp|3092,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:22:11,12/3/2016,15:22:18,AlarmRateRamp|3093,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:22:20,12/3/2016,15:23:25,AlarmRateRamp|3094,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:22:31,12/3/2016,15:23:25,AlarmRateRamp|3095,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:22:43,12/3/2016,15:23:25,AlarmRateRamp|3096,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:22:55,12/3/2016,15:23:25,AlarmRateRamp|3097,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:23:07,12/3/2016,15:23:25,AlarmRateRamp|3098,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:23:19,12/3/2016,15:23:25,AlarmRateRamp|3099,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:23:27,12/3/2016,15:24:31,AlarmRateRamp|3100,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:23:37,12/3/2016,15:24:31,AlarmRateRamp|3101,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:23:49,12/3/2016,15:24:31,AlarmRateRamp|3102,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:24:01,12/3/2016,15:24:31,AlarmRateRamp|3103,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:24:13,12/3/2016,15:24:31,AlarmRateRamp|3104,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,15:24:25,12/3/2016,15:24:31,AlarmRateRamp|3105,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,15:24:33,12/3/2016,15:25:36,AlarmRateRamp|3106,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,15:24:43,12/3/2016,15:25:36,AlarmRateRamp|3107,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,15:24:55,12/3/2016,15:25:36,AlarmRateRamp|3108,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,15:25:07,12/3/2016,15:25:36,AlarmRateRamp|3109,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,15:25:18,12/3/2016,15:25:36,AlarmRateRamp|3110,Q5,I&C ALARM,N/A,Limit Signal 5
